id;plane_id;article;batch_size;release_date;pf_time;workload_ wc
2484;1;811172;6;02.07.2021;7.1;211.1
2517;1;808532;7;02.07.2021;6.2;244.2
2531;1;810883;7;02.07.2021;2.6;240.6
2546;1;84575;3;02.07.2021;5.6;107.6
2556;1;302358;7;02.07.2021;0.82;238.82
2618;1;183349;14;02.07.2021;3;479
2662;1;287040;56;02.07.2021;1.7;1905.7
2696;1;14335;28;02.07.2021;1.6;953.6
2697;1;277978;28;02.07.2021;7;959
2698;1;306204;7;02.07.2021;0.037;238.037
2747;1;810895;28;02.07.2021;2;954
2757;1;277975;42;02.07.2021;2.6;1430.6
2790;1;808533;7;02.07.2021;6.4;244.4
2825;1;277971;6;02.07.2021;0.42;204.42
2833;1;301131;14;02.07.2021;0.049;476.049
2860;1;84576;3;02.07.2021;5.2;107.2
2904;1;267665;7;02.07.2021;5.8;243.8
2908;1;810887;7;02.07.2021;8;246
2915;1;212457;3;02.07.2021;2.7;104.7
2929;1;183350;14;02.07.2021;3.7;479.7
2968;1;14336;14;02.07.2021;2.7;478.7
2996;1;303492;112;02.07.2021;0.056;3808.056
3032;1;84577;3;02.07.2021;2.7;104.7
3084;1;277976;18;02.07.2021;0.79;612.79
3113;1;214540;14;02.07.2021;0.97;476.97
3124;1;301259;146;02.07.2021;0.029;4964.029
3150;1;277972;6;02.07.2021;2.1;206.1
3167;1;308334;7;02.07.2021;0.15;238.15
3213;1;808493;7;02.07.2021;2.6;240.6
3243;1;287042;7;02.07.2021;4.4;242.4
3307;1;277977;9;02.07.2021;6.4;312.4
3357;1;810882;7;02.07.2021;1.8;239.8
3439;1;302272;56;02.07.2021;0.36;1904.36
3446;1;810885;7;02.07.2021;4.6;242.6
3454;1;287039;28;02.07.2021;1.6;953.6
3460;1;303404;84;02.07.2021;0.00036;2856.00036
3503;1;810889;7;02.07.2021;5;243
2473;1;15521;42;05.07.2021;3.2;1431.2
2481;1;277989;7;05.07.2021;20;258
2483;1;810894;14;05.07.2021;4.5;480.5
2491;1;811063;6;05.07.2021;2.5;206.5
2507;1;26224;63;05.07.2021;0.035;2142.035
2538;1;811176;3;05.07.2021;7.7;109.7
2540;1;277985;7;05.07.2021;22;260
2557;1;51205;72;05.07.2021;3.5;2451.5
2581;1;848234;7;05.07.2021;2;240
2606;1;308242;28;05.07.2021;0.061;952.061
2630;1;302346;238;05.07.2021;0.51;8092.51
2636;1;277982;30;05.07.2021;1;1021
2648;1;300675;63;05.07.2021;0.0042;2142.0042
2652;1;282436;14;05.07.2021;14;490
2665;1;191424;56;05.07.2021;3.7;1907.7
2676;1;124398;14;05.07.2021;1.9;477.9
2681;1;287029;84;05.07.2021;2.3;2858.3
2689;1;810890;14;05.07.2021;2.7;478.7
2693;1;84613;78;05.07.2021;0.76;2652.76
2700;1;124428;7;05.07.2021;8.5;246.5
2742;1;295339;14;05.07.2021;34;510
2743;1;14324;7;05.07.2021;0.73;238.73
2745;1;277990;14;05.07.2021;0.33;476.33
2751;1;811064;6;05.07.2021;0.53;204.53
2771;1;125416;25;05.07.2021;0.17;850.17
2781;1;15520;56;05.07.2021;7.6;1911.6
2784;1;191464;36;05.07.2021;1.4;1225.4
2798;1;124434;7;05.07.2021;5;243
2810;1;31366;7;05.07.2021;0.16;238.16
2850;1;191426;14;05.07.2021;11;487
2862;1;811177;3;05.07.2021;11;113
2874;1;300066;56;05.07.2021;0.048;1904.048
2875;1;295347;14;05.07.2021;0.7;476.7
2887;1;191490;12;05.07.2021;1.5;409.5
2893;1;302278;28;05.07.2021;0.77;952.77
2913;1;303406;556;05.07.2021;0.0004;18904.0004
2917;1;112082;48;05.07.2021;0.26;1632.26
2924;1;282435;28;05.07.2021;8.8;960.8
2937;1;191423;14;05.07.2021;12;488
2938;1;124427;14;05.07.2021;8.9;484.9
2957;1;191487;14;05.07.2021;0.97;476.97
2963;1;810891;14;05.07.2021;2.9;478.9
2965;1;10290;31;05.07.2021;0.28;1054.28
2982;1;124397;7;05.07.2021;14;252
2988;1;287030;7;05.07.2021;0.22;238.22
2997;1;234387;9;05.07.2021;0.8;306.8
3002;1;295340;14;05.07.2021;4.9;480.9
3020;1;124433;7;05.07.2021;12;250
3065;1;810892;56;05.07.2021;3;1907
3067;1;811174;6;05.07.2021;0.52;204.52
3070;1;277991;12;05.07.2021;0.75;408.75
3086;1;111011;14;05.07.2021;0.26;476.26
3138;1;14325;7;05.07.2021;1.5;239.5
3139;1;277987;14;05.07.2021;20;496
3154;1;308488;14;05.07.2021;0.037;476.037
3161;1;191486;12;05.07.2021;1.5;409.5
3162;1;84570;6;05.07.2021;2;206
3187;1;811181;3;05.07.2021;27;129
3192;1;115810;6;05.07.2021;0.21;204.21
3238;1;191422;14;05.07.2021;12;488
3265;1;301282;434;05.07.2021;0.028;14756.028
3267;1;277980;18;05.07.2021;1.1;613.1
3289;1;32380;7;05.07.2021;0.84;238.84
3302;1;810893;14;05.07.2021;4.3;480.3
3310;1;811066;36;05.07.2021;0.36;1224.36
3314;1;287031;7;05.07.2021;0.16;238.16
3327;1;301482;6;05.07.2021;1.7;205.7
3329;1;811175;3;05.07.2021;7.4;109.4
3369;1;848235;7;05.07.2021;1.7;239.7
3375;1;277988;42;05.07.2021;1.2;1429.2
3423;1;191425;14;05.07.2021;9;485
3430;1;84571;6;05.07.2021;0.93;204.93
3508;1;302287;44;05.07.2021;0.099;1496.099
3513;1;277981;6;05.07.2021;1.1;205.1
2469;1;15844;14;08.07.2021;3.5;479.5
2472;1;300082;12;08.07.2021;0.062;408.062
2475;1;167558;7;08.07.2021;11;249
2476;1;104167;14;08.07.2021;0.56;476.56
2478;1;15690;7;08.07.2021;4;242
2480;1;177247;56;08.07.2021;0.67;1904.67
2485;1;295215;14;08.07.2021;12;488
2487;1;303522;28;08.07.2021;0.057;952.057
2488;1;124232;28;08.07.2021;2.5;954.5
2489;1;295384;14;08.07.2021;2.3;478.3
2492;1;811157;3;08.07.2021;4.5;106.5
2493;1;254409;7;08.07.2021;0.4;238.4
2499;1;124247;3;08.07.2021;4.1;106.1
2512;1;124292;7;08.07.2021;10;248
2516;1;15356;7;08.07.2021;15;253
2524;1;191416;56;08.07.2021;1.1;1905.1
2534;1;234393;7;08.07.2021;13;251
2542;1;124221;14;08.07.2021;0.64;476.64
2549;1;191442;22;08.07.2021;7.4;755.4
2552;1;811161;3;08.07.2021;6;108
2555;1;282439;7;08.07.2021;18;256
2565;1;287599;7;08.07.2021;1.4;239.4
2571;1;84530;3;08.07.2021;6.4;108.4
2576;1;124439;7;08.07.2021;7.2;245.2
2579;1;815476;3;08.07.2021;8.1;110.1
